N bc_time wc_time
7410 0.003824 0.006347
7420 0.003819 0.006377
7430 0.003825 0.006379
7440 0.003835 0.006394
7450 0.003836 0.006416
7460 0.003841 0.006431
7470 0.003846 0.006447
7480 0.003854 0.006467
7490 0.003866 0.006490
7500 0.003868 0.006505
7510 0.003868 0.006531
7520 0.003882 0.006554
7530 0.003878 0.006552
7540 0.003888 0.006568
7550 0.003888 0.006595
7560 0.003897 0.006606
7570 0.003899 0.006633
7580 0.003905 0.006642
7590 0.003906 0.006664
7600 0.003912 0.006682
7610 0.003917 0.006700
7620 0.003926 0.006709
7630 0.003934 0.006731
7640 0.003937 0.006753
7650 0.003937 0.006764
7660 0.003945 0.006777
7670 0.003951 0.006806
7680 0.003952 0.006828
7690 0.003959 0.006840
7700 0.003966 0.006859
7710 0.003978 0.006885
7720 0.003973 0.006893
7730 0.003982 0.006909
7740 0.003989 0.006930
7750 0.003997 0.006947
7760 0.004003 0.006967
7770 0.004005 0.006998
7780 0.004067 0.007037
7790 0.004017 0.007026
7800 0.004028 0.007038
7810 0.004030 0.007057
7820 0.004028 0.007083
7830 0.004032 0.007095
7840 0.004049 0.007103
7850 0.004057 0.007126
7860 0.004053 0.007146
7870 0.004070 0.007177
7880 0.004070 0.007178
7890 0.004070 0.007207
7900 0.004071 0.007225
7910 0.004077 0.007236
7920 0.004083 0.007250
7930 0.004093 0.007271
7940 0.004097 0.007294
7950 0.004112 0.007392
7960 0.004115 0.007333
7970 0.004117 0.007356
7980 0.004125 0.007370
7990 0.004126 0.007390
8000 0.004126 0.007408
8010 0.004139 0.007419
8020 0.004138 0.007443
8030 0.004155 0.007465
8040 0.004151 0.007479
8050 0.004160 0.007500
8060 0.004163 0.007523
8070 0.004167 0.007536
8080 0.004176 0.007560
8090 0.004177 0.007578
8100 0.004184 0.007614
8110 0.004187 0.007619
8120 0.004195 0.007636
8130 0.004198 0.007660
8140 0.004204 0.007674
8150 0.004207 0.007691
8160 0.004217 0.007715
8170 0.004220 0.007731
8180 0.004235 0.007758
8190 0.004231 0.007767
8200 0.004249 0.007787
8210 0.004268 0.007815
8220 0.004283 0.007835
8230 0.004297 0.007852
8240 0.004308 0.007866
8250 0.004324 0.007896
8260 0.004340 0.007909
8270 0.004376 0.007930
8280 0.004373 0.007957
8290 0.004390 0.007958
8300 0.004406 0.007982
8310 0.004428 0.008011
8320 0.004433 0.008018
8330 0.004449 0.008034
8340 0.004471 0.008057
8350 0.004486 0.008073
8360 0.004499 0.008103
8370 0.004522 0.008114
8380 0.004533 0.008141
8390 0.004550 0.008176
8400 0.004564 0.008178
8410 0.004590 0.008195
8420 0.004599 0.008209
8430 0.004617 0.008230
8440 0.004631 0.008252
8450 0.004647 0.008286
8460 0.004662 0.008299
8470 0.004681 0.008309
8480 0.004702 0.008339
8490 0.004714 0.008348
8500 0.004726 0.008379
8510 0.004742 0.008388
8520 0.004765 0.008409
8530 0.004779 0.008439
8540 0.004797 0.008454
8550 0.004812 0.008477
8560 0.004827 0.008490
8570 0.004846 0.008514
8580 0.004858 0.008536
8590 0.004877 0.008650
8600 0.004895 0.008555
8610 0.004908 0.008639
8620 0.004929 0.008626
8630 0.004943 0.008648
8640 0.004959 0.008676
8650 0.004986 0.008692
8660 0.004995 0.008713
8670 0.005011 0.008722
8680 0.005024 0.008743
8690 0.005040 0.008758
8700 0.005055 0.008772
8710 0.005073 0.008811
8720 0.005086 0.008826
8730 0.005104 0.008918
8740 0.005253 0.008887
8750 0.005142 0.008899
8760 0.005161 0.008921
8770 0.005180 0.008942
8780 0.005190 0.008950
8790 0.005206 0.008967
8800 0.005225 0.008996
8810 0.005251 0.009014
8820 0.005261 0.009053
8830 0.005278 0.009064
8840 0.005300 0.009075
8850 0.005314 0.009088
8860 0.005334 0.009121
8870 0.005346 0.009137
8880 0.005364 0.009159
8890 0.005380 0.009172
8900 0.005397 0.009211
8910 0.005416 0.009227
8920 0.005431 0.009243
8930 0.005446 0.009269
8940 0.005468 0.009288
8950 0.005485 0.009313
8960 0.005512 0.009344
8970 0.005520 0.009357
8980 0.005542 0.009381
8990 0.005562 0.009407
9000 0.005574 0.009424
9010 0.005587 0.009459
9020 0.005609 0.009452
9030 0.005649 0.009541
9040 0.005657 0.009517
9050 0.005665 0.009476
9060 0.005668 0.009491
9070 0.005687 0.009540
9080 0.005708 0.009551
9090 0.005687 0.009590
9100 0.005750 0.009629
9110 0.005777 0.009638
9120 0.005784 0.009661
9130 0.005803 0.009686
9140 0.005817 0.009710
9150 0.005841 0.009739
9160 0.005856 0.009751
9170 0.005875 0.009763
9180 0.005888 0.009783
9190 0.005912 0.009809
9200 0.005924 0.009825
9210 0.005949 0.009852
9220 0.005962 0.009876
9230 0.005994 0.009908
9240 0.006003 0.009922
9250 0.006016 0.009936
9260 0.006040 0.009968
9270 0.006058 0.009980
9280 0.006070 0.010015
9290 0.006093 0.010018
9300 0.006104 0.010048
9310 0.006132 0.010076
9320 0.006154 0.010085
9330 0.006167 0.010115
9340 0.006184 0.010132
9350 0.006201 0.010177
9360 0.006217 0.010178
9370 0.006238 0.010215
9380 0.006257 0.010233
9390 0.006283 0.010263
9400 0.006300 0.010279
9410 0.006314 0.010301
9420 0.006340 0.010316
9430 0.006352 0.010336
9440 0.006369 0.010355
9450 0.006391 0.010394
9460 0.006410 0.010411
9470 0.006432 0.010425
9480 0.006443 0.010448
9490 0.006468 0.010462
9500 0.006484 0.010491
9510 0.006503 0.010506
9520 0.006524 0.010527
9530 0.006551 0.010573
9540 0.006562 0.010591
9550 0.006581 0.010603
9560 0.006595 0.010625
9570 0.006623 0.010650
9580 0.006641 0.010685
9590 0.006659 0.010690
9600 0.006679 0.010724
9610 0.006694 0.010749
9620 0.006714 0.010766
9630 0.006739 0.010788
9640 0.006750 0.010815
9650 0.006766 0.010830
9660 0.006792 0.010856
9670 0.006814 0.010883
9680 0.006828 0.010910
9690 0.006850 0.010927
9700 0.006868 0.010959
9710 0.006899 0.010974
9720 0.006906 0.010989
9730 0.006924 0.011020
9740 0.006950 0.011053
9750 0.006978 0.011074
9760 0.006986 0.011090
9770 0.007010 0.011110
9780 0.007022 0.011125
9790 0.007042 0.011155
9800 0.007065 0.011181
9810 0.007088 0.011202
9820 0.007109 0.011227
9830 0.007121 0.011249
9840 0.007137 0.011272
9850 0.007158 0.011302
9860 0.007181 0.011325
9870 0.007199 0.011354
9880 0.007222 0.011376
9890 0.007239 0.011400
9900 0.007263 0.011415
9910 0.007280 0.011447
9920 0.007306 0.011464
9930 0.007316 0.011493
9940 0.007347 0.011511
9950 0.007368 0.011537
9960 0.007382 0.011569
9970 0.007394 0.011579
9980 0.007423 0.011605
9990 0.007435 0.011618
10000 0.007455 0.011654
10010 0.007477 0.011657
10020 0.007477 0.011642
10030 0.007507 0.011673
10040 0.007523 0.011708
10050 0.007540 0.011719
10060 0.007565 0.011754
10070 0.007591 0.011784
10080 0.007617 0.011807
10090 0.007622 0.011857
10100 0.007644 0.011875
10110 0.007665 0.011878
10120 0.007686 0.011901
10130 0.007726 0.011932
10140 0.007728 0.011962
10150 0.007750 0.011990
10160 0.007771 0.012007
10170 0.007796 0.012033
10180 0.007811 0.012058
10190 0.007826 0.012080
10200 0.007852 0.012103
10210 0.007875 0.012122
10220 0.007900 0.012156
10230 0.007918 0.012412
10240 0.008510 0.012245
10250 0.007976 0.012307
10260 0.008023 0.012361
10270 0.008020 0.012368
10280 0.008058 0.012374
10290 0.008068 0.012401
10300 0.008078 0.012422
10310 0.008101 0.012455
10320 0.008124 0.012474
10330 0.008147 0.012507
10340 0.008164 0.012527
10350 0.008185 0.012548
10360 0.008200 0.012569
10370 0.008225 0.012603
10380 0.008248 0.012623
10390 0.008265 0.012653
10400 0.008285 0.012664
10410 0.008312 0.012689
10420 0.008327 0.012714
10430 0.008351 0.012744
10440 0.008373 0.012768
10450 0.008395 0.012784
10460 0.008418 0.012815
10470 0.008433 0.012854
10480 0.008455 0.012861
10490 0.008484 0.012893
10500 0.008501 0.012918
10510 0.008518 0.012951
10520 0.008538 0.012957
10530 0.008560 0.012990
10540 0.008575 0.013008
10550 0.008599 0.013033
10560 0.008622 0.013054
10570 0.008640 0.013077
10580 0.008664 0.013100
10590 0.008686 0.013131
10600 0.008715 0.013153
10610 0.008752 0.013187
10620 0.008755 0.013199
10630 0.008774 0.013232
10640 0.008798 0.013254
10650 0.008816 0.013289
10660 0.008842 0.013312
10670 0.008867 0.013341
10680 0.008880 0.013365
10690 0.008905 0.013377
10700 0.008928 0.013421
10710 0.008963 0.013440
10720 0.008986 0.013467
10730 0.008996 0.013489
10740 0.009027 0.013519
10750 0.009035 0.013582
10760 0.009082 0.013594
10770 0.009108 0.013619
10780 0.009114 0.013637
10790 0.009134 0.013647
10800 0.009155 0.013667
